name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
HAKA,133114,117,0.04,89024.86,99.00,0.00,0.00,0.00,0.00,0.00
HAMMERSTAD,133114,117,0.04,89024.91,99.15,0.00,(S),0.00,0.00,(S)
HANAGRIFF,133114,117,0.04,89024.95,96.58,(S),0.00,0.00,0.00,(S)
HANGEY,133114,117,0.04,89024.99,99.15,(S),0.00,0.00,0.00,(S)
HANYOK,133114,117,0.04,89025.04,95.73,4.27,0.00,0.00,0.00,0.00
HANYON,133114,117,0.04,89025.08,96.58,0.00,0.00,0.00,(S),(S)
HARIN,133114,117,0.04,89025.12,33.33,10.26,(S),0.00,(S),53.85
HARMATZ,133114,117,0.04,89025.17,97.44,(S),0.00,0.00,0.00,(S)
HARRO,133114,117,0.04,89025.21,88.03,(S),(S),0.00,(S),8.55
HASENOHRL,133114,117,0.04,89025.25,97.44,0.00,(S),0.00,0.00,(S)
HATLEE,133114,117,0.04,89025.30,99.15,0.00,0.00,0.00,(S),(S)
HATZINGER,133114,117,0.04,89025.34,96.58,0.00,(S),0.00,(S),0.00
HEDEMANN,133114,117,0.04,89025.38,89.74,0.00,(S),0.00,5.98,(S)
HEILIGMAN,133114,117,0.04,89025.43,93.16,0.00,(S),(S),(S),(S)
HEKMAT,133114,117,0.04,89025.47,86.32,0.00,(S),0.00,11.11,(S)
HELEM,133114,117,0.04,89025.51,38.46,59.83,0.00,(S),(S),0.00
HELTER,133114,117,0.04,89025.56,87.18,(S),(S),0.00,0.00,11.97
HEMBROOK,133114,117,0.04,89025.60,96.58,0.00,(S),0.00,(S),0.00
HENESY,133114,117,0.04,89025.64,96.58,0.00,(S),0.00,0.00,(S)
HENIK,133114,117,0.04,89025.69,99.00,0.00,0.00,0.00,0.00,0.00
HERTZMAN,133114,117,0.04,89025.73,96.58,(S),0.00,0.00,0.00,(S)
HESSLINK,133114,117,0.04,89025.77,97.44,0.00,0.00,0.00,(S),(S)
HESTOR,133114,117,0.04,89025.82,72.65,24.79,(S),0.00,0.00,(S)
HIBER,133114,117,0.04,89025.86,98.29,0.00,0.00,(S),0.00,(S)
HINTSALA,133114,117,0.04,89025.90,87.18,0.00,0.00,8.55,4.27,0.00
HIRSHON,133114,117,0.04,89025.95,94.87,0.00,(S),0.00,(S),(S)
HOCKENBROCK,133114,117,0.04,89025.99,97.44,0.00,(S),0.00,(S),0.00
HODNY,133114,117,0.04,89026.03,97.44,(S),0.00,0.00,(S),0.00
HOEMBERG,133114,117,0.04,89026.08,99.15,0.00,0.00,0.00,(S),(S)
HOLLINGSEAD,133114,117,0.04,89026.12,88.03,(S),(S),0.00,(S),8.55
HOLZE,133114,117,0.04,89026.16,97.44,(S),0.00,(S),0.00,0.00
HONNEN,133114,117,0.04,89026.21,99.00,0.00,0.00,0.00,0.00,0.00
HONRADO,133114,117,0.04,89026.25,6.84,(S),67.52,(S),5.13,18.80
HOSPELHORN,133114,117,0.04,89026.29,99.00,0.00,0.00,0.00,0.00,0.00
HOTMER,133114,117,0.04,89026.34,95.73,0.00,0.00,0.00,0.00,4.27
HRONIS,133114,117,0.04,89026.38,94.87,0.00,(S),0.00,4.27,(S)
HUBATCH,133114,117,0.04,89026.42,93.16,(S),0.00,0.00,(S),5.13
HUGEBACK,133114,117,0.04,89026.47,98.29,0.00,0.00,(S),(S),0.00
HULSEMAN,133114,117,0.04,89026.51,97.44,0.00,0.00,(S),(S),(S)
IANNINI,133114,117,0.04,89026.55,85.47,0.00,(S),0.00,(S),11.97
IANUZZI,133114,117,0.04,89026.60,96.58,0.00,(S),(S),(S),(S)
IHEANACHO,133114,117,0.04,89026.64,(S),94.02,0.00,0.00,(S),(S)
IHRY,133114,117,0.04,89026.68,97.44,0.00,0.00,(S),0.00,(S)
INZANO,133114,117,0.04,89026.73,99.15,(S),0.00,0.00,0.00,(S)
IRONSHELL,133114,117,0.04,89026.77,9.40,(S),0.00,79.49,7.69,(S)
ISEMANN,133114,117,0.04,89026.81,96.58,0.00,(S),0.00,(S),(S)
ISHKANIAN,133114,117,0.04,89026.86,94.87,(S),(S),0.00,0.00,4.27
IVANEZ,133114,117,0.04,89026.90,(S),0.00,(S),0.00,(S),94.02
IWANOW,133114,117,0.04,89026.94,88.89,(S),0.00,0.00,(S),9.40
JADUS,133114,117,0.04,89026.99,97.44,0.00,0.00,0.00,(S),(S)
JAGGAR,133114,117,0.04,89027.03,94.87,0.00,(S),0.00,0.00,(S)
JAROSEK,133114,117,0.04,89027.07,94.02,0.00,0.00,0.00,0.00,5.98
JENNIFERL,133114,117,0.04,89027.12,93.16,(S),0.00,0.00,(S),(S)
JERO,133114,117,0.04,89027.16,94.87,(S),(S),(S),(S),(S)
JOCOY,133114,117,0.04,89027.20,91.45,0.00,(S),(S),(S),(S)
JOLE,133114,117,0.04,89027.25,89.74,(S),(S),4.27,(S),(S)
JONGELING,133114,117,0.04,89027.29,97.44,(S),0.00,0.00,0.00,(S)
JOVANELLY,133114,117,0.04,89027.33,96.58,(S),0.00,0.00,(S),(S)
JUMALON,133114,117,0.04,89027.38,34.19,0.00,52.14,0.00,7.69,5.98
JUMAWAN,133114,117,0.04,89027.42,(S),(S),88.03,0.00,7.69,(S)
JURISICH,133114,117,0.04,89027.46,94.87,0.00,0.00,0.00,0.00,5.13
KAEMMER,133114,117,0.04,89027.51,99.15,(S),0.00,0.00,0.00,(S)
