name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
LASCARI,94676,179,0.07,86960.06,92.74,(S),(S),0.00,0.00,5.59
LAZAROV,94676,179,0.07,86960.13,90.50,0.00,(S),0.00,8.94,(S)
LEBIANC,94676,179,0.07,86960.19,79.89,15.64,(S),(S),(S),(S)
LEITHER,94676,179,0.07,86960.26,97.77,(S),(S),0.00,(S),0.00
LENAMOND,94676,179,0.07,86960.33,97.21,(S),(S),0.00,(S),(S)
LENERS,94676,179,0.07,86960.39,96.65,(S),0.00,(S),0.00,(S)
LEPIRE,94676,179,0.07,86960.46,95.53,0.00,0.00,(S),(S),(S)
LESMAN,94676,179,0.07,86960.53,96.09,(S),0.00,0.00,3.35,(S)
LIEWER,94676,179,0.07,86960.59,96.65,0.00,(S),0.00,(S),(S)
LIMPER,94676,179,0.07,86960.66,91.06,(S),(S),0.00,0.00,7.26
LINDENFELD,94676,179,0.07,86960.73,93.30,3.35,0.00,0.00,(S),(S)
LINSSEN,94676,179,0.07,86960.79,99.44,0.00,0.00,0.00,(S),(S)
LLANA,94676,179,0.07,86960.86,21.79,0.00,18.99,0.00,3.91,55.31
LOESCHEN,94676,179,0.07,86960.92,98.32,0.00,(S),0.00,(S),0.00
LOVATT,94676,179,0.07,86960.99,96.65,(S),(S),0.00,(S),(S)
MACASIEB,94676,179,0.07,86961.06,5.03,(S),87.15,0.00,6.15,(S)
MACFARLAN,94676,179,0.07,86961.12,91.62,(S),(S),0.00,(S),5.03
MACLAUCHLAN,94676,179,0.07,86961.19,98.88,0.00,0.00,(S),(S),0.00
MACWILLIAM,94676,179,0.07,86961.26,96.09,(S),0.00,0.00,(S),(S)
MADOR,94676,179,0.07,86961.32,87.15,2.79,(S),0.00,(S),7.82
MALVAR,94676,179,0.07,86961.39,15.08,(S),61.45,(S),11.17,10.61
MANGIALARDI,94676,179,0.07,86961.46,94.41,(S),(S),0.00,(S),(S)
MARAFINO,94676,179,0.07,86961.52,97.77,0.00,(S),0.00,0.00,(S)
MARESCH,94676,179,0.07,86961.59,97.77,0.00,(S),0.00,0.00,(S)
MARKUSIC,94676,179,0.07,86961.65,96.09,0.00,0.00,0.00,(S),(S)
MARLEAU,94676,179,0.07,86961.72,93.85,0.00,(S),(S),2.79,(S)
MASOPUST,94676,179,0.07,86961.79,96.65,0.00,(S),(S),(S),(S)
MATSCHE,94676,179,0.07,86961.85,97.77,(S),0.00,0.00,0.00,(S)
MAUFFRAY,94676,179,0.07,86961.92,96.65,(S),(S),0.00,0.00,(S)
MAURE,94676,179,0.07,86961.99,58.66,2.79,6.70,(S),(S),30.17
MCCAFFREE,94676,179,0.07,86962.05,92.18,0.00,(S),(S),4.47,0.00
MCCAVE,94676,179,0.07,86962.12,89.94,5.59,0.00,(S),2.79,(S)
MCCLUSTER,94676,179,0.07,86962.19,7.82,89.39,0.00,(S),(S),(S)
MCCONNAUGHHAY,94676,179,0.07,86962.25,94.41,(S),0.00,(S),2.79,(S)
MCCURNIN,94676,179,0.07,86962.32,96.65,(S),0.00,0.00,(S),(S)
MCDERMAID,94676,179,0.07,86962.38,97.21,(S),(S),0.00,(S),0.00
MCGEADY,94676,179,0.07,86962.45,95.53,(S),(S),(S),(S),(S)
MCGILVRA,94676,179,0.07,86962.52,98.32,0.00,(S),0.00,0.00,(S)
MCLOON,94676,179,0.07,86962.58,98.88,0.00,0.00,0.00,(S),(S)
MEERE,94676,179,0.07,86962.65,93.85,3.35,(S),0.00,0.00,(S)
MEGARO,94676,179,0.07,86962.72,93.85,(S),0.00,0.00,(S),5.03
MELKUS,94676,179,0.07,86962.78,95.53,(S),(S),(S),(S),(S)
MENDIS,94676,179,0.07,86962.85,44.13,11.17,32.40,0.00,8.38,3.91
MEYNARD,94676,179,0.07,86962.92,55.31,15.64,(S),0.00,(S),26.26
MIALE,94676,179,0.07,86962.98,96.09,0.00,(S),0.00,(S),(S)
MIKELONIS,94676,179,0.07,86963.05,95.53,0.00,0.00,0.00,(S),(S)
MINTUN,94676,179,0.07,86963.11,95.53,(S),2.79,0.00,0.00,(S)
MISIANO,94676,179,0.07,86963.18,94.97,(S),0.00,0.00,(S),4.47
MISKIMINS,94676,179,0.07,86963.25,97.21,0.00,0.00,0.00,(S),(S)
MOGIL,94676,179,0.07,86963.31,98.32,0.00,0.00,0.00,(S),(S)
MONSE,94676,179,0.07,86963.38,87.15,(S),(S),0.00,(S),8.38
MONSIVAIZ,94676,179,0.07,86963.45,6.15,(S),(S),0.00,0.00,93.30
